25-10-2022 08:41:16.983 INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ab2c5d8, org.springframework.security.web.context.SecurityContextPersistenceFilter@f7e004d, org.springframework.security.web.header.HeaderWriterFilter@616d9a6d, org.springframework.web.filter.CorsFilter@5ec75178, org.springframework.security.web.authentication.logout.LogoutFilter@67441705, com.elcom.backend.auth.jwt.JwtAuthenticationFilter@386ea60f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@475454ae, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@465a121d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@38410ce5, org.springframework.security.web.session.SessionManagementFilter@12ff0e4f, org.springframework.security.web.access.ExceptionTranslationFilter@1f1b69bb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@41628b4f]
25-10-2022 08:41:17.735 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Using default implementation for ThreadExecutor
25-10-2022 08:41:17.757 INFO  o.quartz.core.SchedulerSignalerImpl.<init> - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
25-10-2022 08:41:17.758 INFO  org.quartz.core.QuartzScheduler.<init> - Quartz Scheduler v.2.3.2 created.
25-10-2022 08:41:17.759 INFO  org.quartz.simpl.RAMJobStore.initialize - RAMJobStore initialized.
25-10-2022 08:41:17.760 INFO  org.quartz.core.QuartzScheduler.initialize - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

25-10-2022 08:41:17.760 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
25-10-2022 08:41:17.761 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Quartz scheduler version: 2.3.2
25-10-2022 08:41:17.761 INFO  org.quartz.core.QuartzScheduler.setJobFactory - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@fb79241
25-10-2022 08:41:17.879 INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
25-10-2022 08:41:17.902 INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
25-10-2022 08:41:17.905 INFO  o.s.a.r.c.CachingConnectionFactory.connectAddresses - Attempting to connect to: [127.0.0.1:5672]
25-10-2022 08:41:18.105 INFO  o.s.a.r.c.CachingConnectionFactory.createBareConnection - Created new connection: rabbitConnectionFactory#33671907:0/SimpleConnection@9d10078 [delegate=amqp://elcom@127.0.0.1:5672/, localPort= 60819]
25-10-2022 08:41:18.117 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-Ahv-nJs8RNKtm6rEOagVIg) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
25-10-2022 08:41:18.118 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-Qyd_M25WSEWRpHadHLoy1w) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
25-10-2022 08:41:18.118 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-lvgqljXVTQClf9ug2vuAOw) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
25-10-2022 08:41:18.118 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-NcRfDEKdQumoOrARTn-HDA) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
25-10-2022 08:41:18.484 INFO  o.s.s.quartz.SchedulerFactoryBean.startScheduler - Starting Quartz Scheduler now
25-10-2022 08:41:18.485 INFO  org.quartz.core.QuartzScheduler.start - Scheduler quartzScheduler_$_NON_CLUSTERED started.
25-10-2022 08:41:18.502 INFO  com.elcom.backend.ServiceApplication.logStarted - Started ServiceApplication in 13.247 seconds (JVM running for 14.215)
25-10-2022 08:41:58.097 INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
25-10-2022 08:41:58.098 INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
25-10-2022 08:41:58.100 INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 1 ms
25-10-2022 08:41:58.933 WARN  o.a.c.util.SessionIdGeneratorBase.log - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [187] milliseconds.
25-10-2022 08:42:56.403 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:42:57.078 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:42:57.083 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:42:57.107 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:42:57.111 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:42:57.233 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:42:57.238 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:42:58.236 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:42:58.238 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:42:59.238 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:42:59.240 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:43:00.253 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:43:00.254 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:43:01.265 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:43:01.266 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:43:02.266 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:43:02.268 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Waiting for workers to finish.
25-10-2022 08:43:03.255 INFO  o.s.a.r.l.SimpleMessageListenerContainer.doShutdown - Successfully waited for workers to finish.
25-10-2022 08:43:03.256 INFO  org.quartz.core.QuartzScheduler.standby - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
25-10-2022 08:43:03.446 INFO  o.s.s.quartz.SchedulerFactoryBean.destroy - Shutting down Quartz Scheduler
25-10-2022 08:43:03.446 INFO  org.quartz.core.QuartzScheduler.shutdown - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
25-10-2022 08:43:03.446 INFO  org.quartz.core.QuartzScheduler.standby - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
25-10-2022 08:43:03.447 INFO  org.quartz.core.QuartzScheduler.shutdown - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
25-10-2022 08:43:03.475 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
25-10-2022 08:43:03.476 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
