20-10-2022 14:56:19.940 INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d012e18, org.springframework.security.web.context.SecurityContextPersistenceFilter@498d7c57, org.springframework.security.web.header.HeaderWriterFilter@4a57ad67, org.springframework.web.filter.CorsFilter@7b13ae73, org.springframework.security.web.authentication.logout.LogoutFilter@62857555, com.elcom.backend.auth.jwt.JwtAuthenticationFilter@77b01226, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66b9f727, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@117e9a56, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2dbfb843, org.springframework.security.web.session.SessionManagementFilter@1dfd39fe, org.springframework.security.web.access.ExceptionTranslationFilter@3020f22, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36c763cd]
20-10-2022 14:56:20.853 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Using default implementation for ThreadExecutor
20-10-2022 14:56:20.878 INFO  o.quartz.core.SchedulerSignalerImpl.<init> - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
20-10-2022 14:56:20.878 INFO  org.quartz.core.QuartzScheduler.<init> - Quartz Scheduler v.2.3.2 created.
20-10-2022 14:56:20.880 INFO  org.quartz.simpl.RAMJobStore.initialize - RAMJobStore initialized.
20-10-2022 14:56:20.881 INFO  org.quartz.core.QuartzScheduler.initialize - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

20-10-2022 14:56:20.881 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
20-10-2022 14:56:20.881 INFO  org.quartz.impl.StdSchedulerFactory.instantiate - Quartz scheduler version: 2.3.2
20-10-2022 14:56:20.882 INFO  org.quartz.core.QuartzScheduler.setJobFactory - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@f64f47a
20-10-2022 14:56:21.030 INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
20-10-2022 14:56:21.048 INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
20-10-2022 14:56:21.050 INFO  o.s.a.r.c.CachingConnectionFactory.connectAddresses - Attempting to connect to: [127.0.0.1:5672]
20-10-2022 14:56:21.198 INFO  o.s.a.r.c.CachingConnectionFactory.createBareConnection - Created new connection: rabbitConnectionFactory#5fc3dfc1:0/SimpleConnection@18ee9a8f [delegate=amqp://elcom@127.0.0.1:5672/, localPort= 55708]
20-10-2022 14:56:21.208 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-8dlC-H6HQIKjCXDepjFlLg) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
20-10-2022 14:56:21.209 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-_svMK_NbQ8ydECZYbWapKg) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
20-10-2022 14:56:21.209 INFO  o.s.amqp.rabbit.core.RabbitAdmin.initialize - Auto-declaring a non-durable, auto-delete, or exclusive Queue (spring.gen-huIEQ_qyQVi7vclgj3-NzA) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
